id,cycle,s2,s3,s4,s7,s8,s9,s11,s12,s13,s14,s15,s17,s20,s21
1,1,392,392,392,392,392,392,392,392,392,392,392,392,392,392
1,2,392,392,392,392,392,392,392,392,392,392,392,392,392,392
1,3,390,390,390,390,390,390,390,390,390,390,390,390,390,390
1,4,392,392,392,392,392,392,392,392,392,392,392,392,392,392
1,5,393,393,393,393,393,393,393,393,393,393,393,393,393,393
1,6,391,391,391,391,391,391,391,391,391,391,391,391,391,391
1,7,392,392,392,392,392,392,392,392,392,392,392,392,392,392
1,8,391,391,391,391,391,391,391,391,391,391,391,391,391,391
1,9,392,392,392,392,392,392,392,392,392,392,392,392,392,392
1,10,393,393,393,393,393,393,393,393,393,393,393,393,393,393
1,11,392,392,392,392,392,392,392,392,392,392,392,392,392,392
1,12,391,391,391,391,391,391,391,391,391,391,391,391,391,391
1,13,393,393,393,393,393,393,393,393,393,393,393,393,393,393
1,14,393,393,393,393,393,393,393,393,393,393,393,393,393,393
1,15,391,391,391,391,391,391,391,391,391,391,391,391,391,391
1,16,392,392,392,392,392,392,392,392,392,392,392,392,392,392
1,17,392,392,392,392,392,392,392,392,392,392,392,392,392,392
1,18,392,392,392,392,392,392,392,392,392,392,392,392,392,392
1,19,391,391,391,391,391,391,391,391,391,391,391,391,391,391
1,20,392,392,392,392,392,392,392,392,392,392,392,392,392,392
1,21,392,392,392,392,392,392,392,392,392,392,392,392,392,392
1,22,392,392,392,392,392,392,392,392,392,392,392,392,392,392
1,23,392,392,392,392,392,392,392,392,392,392,392,392,392,392
1,24,392,392,392,392,392,392,392,392,392,392,392,392,392,392
1,25,393,393,393,393,393,393,393,393,393,393,393,393,393,393
1,26,394,394,394,394,394,394,394,394,394,394,394,394,394,394
1,27,393,393,393,393,393,393,393,393,393,393,393,393,393,393
1,28,390,390,390,390,390,390,390,390,390,390,390,390,390,390
1,29,393,393,393,393,393,393,393,393,393,393,393,393,393,393
1,30,390,390,390,390,390,390,390,390,390,390,390,390,390,390
1,31,392,392,392,392,392,392,392,392,392,392,392,392,392,392
